time_stamp_sec,window_duration_sec,avg_speed_kmh,grade,vehicle_mass,battery_capacity_kwh,battery_energy_spend_kwh,motion_energy_drain_kwh,gravity_energy_drain_kwh,heat_energy_drain_kwh,aux_energy_drain_kwh,regen_energy_gain_kwh,soc_percent,distance_km,remaining_energy_kwh,remaining_range_km,scenario_id,scenario_type
0,15,80.11150117432088,-9.588310114083951,1686.9021545015712,192.11428902558657,0.7743213575344173,0.22684533154926603,0.0,0.1100987670756456,0.4872223685309238,0.049845109621418165,76.24275376909434,0.3337979215596703,146.4732243370242,63.1423340866183,0,constant
15,15,80.11150117432088,-9.588310114083951,1686.9021545015712,192.11428902558657,0.7743213575344173,0.22684533154926603,0.0,0.1100987670756456,0.4872223685309238,0.049845109621418165,75.83970131450504,0.3337979215596703,145.6989029794898,62.808536165058634,0,constant
30,15,80.11150117432088,-9.588310114083951,1686.9021545015712,192.11428902558657,0.7743213575344173,0.22684533154926603,0.0,0.1100987670756456,0.4872223685309238,0.049845109621418165,75.43664885991573,0.3337979215596703,144.92458162195538,62.47473824349897,0,constant
45,15,80.11150117432088,-9.588310114083951,1686.9021545015712,192.11428902558657,0.7743213575344173,0.22684533154926603,0.0,0.1100987670756456,0.4872223685309238,0.049845109621418165,75.03359640532643,0.3337979215596703,144.15026026442095,62.14094032193929,0,constant
60,15,80.11150117432088,-9.588310114083951,1686.9021545015712,192.11428902558657,0.7743213575344173,0.22684533154926603,0.0,0.1100987670756456,0.4872223685309238,0.049845109621418165,74.63054395073713,0.3337979215596703,143.37593890688657,61.80714240037964,0,constant
75,15,80.11150117432088,-9.588310114083951,1686.9021545015712,192.11428902558657,0.7743213575344173,0.22684533154926603,0.0,0.1100987670756456,0.4872223685309238,0.049845109621418165,74.22749149614783,0.3337979215596703,142.60161754935214,61.47334447881996,0,constant
90,15,80.11150117432088,-9.588310114083951,1686.9021545015712,192.11428902558657,0.7743213575344173,0.22684533154926603,0.0,0.1100987670756456,0.4872223685309238,0.049845109621418165,73.82443904155853,0.3337979215596703,141.82729619181774,61.139546557260296,0,constant
105,15,80.11150117432088,-9.588310114083951,1686.9021545015712,192.11428902558657,0.7743213575344173,0.22684533154926603,0.0,0.1100987670756456,0.4872223685309238,0.049845109621418165,73.42138658696923,0.3337979215596703,141.05297483428333,60.80574863570063,0,constant
120,15,80.11150117432088,-9.588310114083951,1686.9021545015712,192.11428902558657,0.7743213575344173,0.22684533154926603,0.0,0.1100987670756456,0.4872223685309238,0.049845109621418165,73.01833413237993,0.3337979215596703,140.27865347674893,60.47195071414097,0,constant
135,15,80.11150117432088,-9.588310114083951,1686.9021545015712,192.11428902558657,0.7743213575344173,0.22684533154926603,0.0,0.1100987670756456,0.4872223685309238,0.049845109621418165,72.61528167779063,0.3337979215596703,139.5043321192145,60.13815279258129,0,constant
150,15,80.11150117432088,-9.588310114083951,1686.9021545015712,192.11428902558657,0.7743213575344173,0.22684533154926603,0.0,0.1100987670756456,0.4872223685309238,0.049845109621418165,72.21222922320133,0.3337979215596703,138.7300107616801,59.80435487102162,0,constant
165,15,80.11150117432088,-9.588310114083951,1686.9021545015712,192.11428902558657,0.7743213575344173,0.22684533154926603,0.0,0.1100987670756456,0.4872223685309238,0.049845109621418165,71.80917676861203,0.3337979215596703,137.9556894041457,59.47055694946196,0,constant
180,15,80.11150117432088,-9.588310114083951,1686.9021545015712,192.11428902558657,0.7743213575344173,0.22684533154926603,0.0,0.1100987670756456,0.4872223685309238,0.049845109621418165,71.40612431402273,0.3337979215596703,137.18136804661128,59.13675902790229,0,constant
195,15,80.11150117432088,-9.588310114083951,1686.9021545015712,192.11428902558657,0.7743213575344173,0.22684533154926603,0.0,0.1100987670756456,0.4872223685309238,0.049845109621418165,71.00307185943343,0.3337979215596703,136.40704668907688,58.80296110634263,0,constant
210,15,80.11150117432088,-9.588310114083951,1686.9021545015712,192.11428902558657,0.7743213575344173,0.22684533154926603,0.0,0.1100987670756456,0.4872223685309238,0.049845109621418165,70.60001940484413,0.3337979215596703,135.63272533154245,58.46916318478295,0,constant
225,15,80.11150117432088,-9.588310114083951,1686.9021545015712,192.11428902558657,0.7743213575344173,0.22684533154926603,0.0,0.1100987670756456,0.4872223685309238,0.049845109621418165,70.19696695025483,0.3337979215596703,134.85840397400807,58.1353652632233,0,constant
240,15,80.11150117432088,-9.588310114083951,1686.9021545015712,192.11428902558657,0.7743213575344173,0.22684533154926603,0.0,0.1100987670756456,0.4872223685309238,0.049845109621418165,69.79391449566553,0.3337979215596703,134.08408261647364,57.80156734166362,0,constant
255,15,80.11150117432088,-9.588310114083951,1686.9021545015712,192.11428902558657,0.7743213575344173,0.22684533154926603,0.0,0.1100987670756456,0.4872223685309238,0.049845109621418165,69.39086204107623,0.3337979215596703,133.30976125893923,57.467769420103956,0,constant
270,15,80.11150117432088,-9.588310114083951,1686.9021545015712,192.11428902558657,0.7743213575344173,0.22684533154926603,0.0,0.1100987670756456,0.4872223685309238,0.049845109621418165,68.98780958648693,0.3337979215596703,132.53543990140483,57.13397149854429,0,constant
285,15,80.11150117432088,-9.588310114083951,1686.9021545015712,192.11428902558657,0.7743213575344173,0.22684533154926603,0.0,0.1100987670756456,0.4872223685309238,0.049845109621418165,68.58475713189763,0.3337979215596703,131.76111854387042,56.800173576984626,0,constant
300,15,80.11150117432088,-9.588310114083951,1686.9021545015712,192.11428902558657,0.7743213575344173,0.22684533154926603,0.0,0.1100987670756456,0.4872223685309238,0.049845109621418165,68.18170467730833,0.3337979215596703,130.986797186336,56.466375655424955,0,constant
315,15,80.11150117432088,-9.588310114083951,1686.9021545015712,192.11428902558657,0.7743213575344173,0.22684533154926603,0.0,0.1100987670756456,0.4872223685309238,0.049845109621418165,67.77865222271903,0.3337979215596703,130.2124758288016,56.13257773386529,0,constant
330,15,80.11150117432088,-9.588310114083951,1686.9021545015712,192.11428902558657,0.7743213575344173,0.22684533154926603,0.0,0.1100987670756456,0.4872223685309238,0.049845109621418165,67.37559976812973,0.3337979215596703,129.43815447126718,55.798779812305625,0,constant
345,15,80.11150117432088,-9.588310114083951,1686.9021545015712,192.11428902558657,0.7743213575344173,0.22684533154926603,0.0,0.1100987670756456,0.4872223685309238,0.049845109621418165,66.97254731354043,0.3337979215596703,128.66383311373278,55.46498189074596,0,constant
360,15,80.11150117432088,-9.588310114083951,1686.9021545015712,192.11428902558657,0.7743213575344173,0.22684533154926603,0.0,0.1100987670756456,0.4872223685309238,0.049845109621418165,66.56949485895113,0.3337979215596703,127.88951175619836,55.13118396918629,0,constant
375,15,80.11150117432088,-9.588310114083951,1686.9021545015712,192.11428902558657,0.7743213575344173,0.22684533154926603,0.0,0.1100987670756456,0.4872223685309238,0.049845109621418165,66.16644240436183,0.3337979215596703,127.11519039866397,54.79738604762663,0,constant
390,15,80.11150117432088,-9.588310114083951,1686.9021545015712,192.11428902558657,0.7743213575344173,0.22684533154926603,0.0,0.1100987670756456,0.4872223685309238,0.049845109621418165,65.76338994977253,0.3337979215596703,126.34086904112955,54.46358812606696,0,constant
405,15,80.11150117432088,-9.588310114083951,1686.9021545015712,192.11428902558657,0.7743213575344173,0.22684533154926603,0.0,0.1100987670756456,0.4872223685309238,0.049845109621418165,65.36033749518323,0.3337979215596703,125.56654768359515,54.129790204507295,0,constant
420,15,80.11150117432088,-9.588310114083951,1686.9021545015712,192.11428902558657,0.7743213575344173,0.22684533154926603,0.0,0.1100987670756456,0.4872223685309238,0.049845109621418165,64.95728504059393,0.3337979215596703,124.79222632606073,53.79599228294762,0,constant
435,15,80.11150117432088,-9.588310114083951,1686.9021545015712,192.11428902558657,0.7743213575344173,0.22684533154926603,0.0,0.1100987670756456,0.4872223685309238,0.049845109621418165,64.55423258600463,0.3337979215596703,124.01790496852634,53.462194361387965,0,constant
450,15,80.11150117432088,-9.588310114083951,1686.9021545015712,192.11428902558657,0.7743213575344173,0.22684533154926603,0.0,0.1100987670756456,0.4872223685309238,0.049845109621418165,64.15118013141533,0.3337979215596703,123.24358361099192,53.12839643982829,0,constant
465,15,80.11150117432088,-9.588310114083951,1686.9021545015712,192.11428902558657,0.7743213575344173,0.22684533154926603,0.0,0.1100987670756456,0.4872223685309238,0.049845109621418165,63.74812767682602,0.3337979215596703,122.4692622534575,52.79459851826862,0,constant
480,15,80.11150117432088,-9.588310114083951,1686.9021545015712,192.11428902558657,0.7743213575344173,0.22684533154926603,0.0,0.1100987670756456,0.4872223685309238,0.049845109621418165,63.345075222236716,0.3337979215596703,121.69494089592307,52.46080059670894,0,constant
495,15,80.11150117432088,-9.588310114083951,1686.9021545015712,192.11428902558657,0.7743213575344173,0.22684533154926603,0.0,0.1100987670756456,0.4872223685309238,0.049845109621418165,62.94202276764741,0.3337979215596703,120.92061953838865,52.12700267514928,0,constant
510,15,80.11150117432088,-9.588310114083951,1686.9021545015712,192.11428902558657,0.7743213575344173,0.22684533154926603,0.0,0.1100987670756456,0.4872223685309238,0.049845109621418165,62.5389703130581,0.3337979215596703,120.14629818085423,51.793204753589606,0,constant
525,15,80.11150117432088,-9.588310114083951,1686.9021545015712,192.11428902558657,0.7743213575344173,0.22684533154926603,0.0,0.1100987670756456,0.4872223685309238,0.049845109621418165,62.135917858468794,0.3337979215596703,119.3719768233198,51.45940683202993,0,constant
